pattern	pattern_idx	sample_idx
sorted_ascending	4	0
alternating	2	1
first_last_match	9	2
mountain_pattern	7	3
sorted_descending	3	4
decreasing_pairs	6	5
mountain_pattern	7	6
sorted_ascending	4	7
decreasing_pairs	6	8
alternating	2	9
palindrome	1	10
decreasing_pairs	6	11
sorted_ascending	4	12
first_last_match	9	13
no_repeats	11	14
decreasing_pairs	6	15
first_last_match	9	16
sorted_descending	3	17
increasing_pairs	8	18
alternating	2	19
palindrome	1	20
has_majority	12	21
mountain_pattern	7	22
alternating	2	23
no_repeats	11	24
sorted_ascending	4	25
mountain_pattern	7	26
alternating	2	27
sorted_descending	3	28
first_last_match	9	29
