pattern	pattern_idx	sample_idx
sorted_descending	3	0
first_last_match	9	1
sorted_ascending	4	2
palindrome	1	3
mountain_pattern	7	4
decreasing_pairs	6	5
has_majority	12	6
has_majority	12	7
has_majority	12	8
has_majority	12	9
no_repeats	11	10
increasing_pairs	8	11
increasing_pairs	8	12
palindrome	1	13
sorted_ascending	4	14
has_majority	12	15
first_last_match	9	16
palindrome	1	17
alternating	2	18
first_last_match	9	19
sorted_ascending	4	20
alternating	2	21
sorted_descending	3	22
no_repeats	11	23
mountain_pattern	7	24
sorted_ascending	4	25
first_last_match	9	26
no_repeats	11	27
first_last_match	9	28
alternating	2	29
no_repeats	11	30
sorted_ascending	4	31
no_repeats	11	32
alternating	2	33
alternating	2	34
no_repeats	11	35
no_repeats	11	36
has_majority	12	37
alternating	2	38
sorted_ascending	4	39
sorted_descending	3	40
sorted_descending	3	41
first_last_match	9	42
mountain_pattern	7	43
has_majority	12	44
increasing_pairs	8	45
no_repeats	11	46
has_majority	12	47
sorted_descending	3	48
sorted_descending	3	49
decreasing_pairs	6	50
palindrome	1	51
sorted_descending	3	52
palindrome	1	53
no_repeats	11	54
has_majority	12	55
no_repeats	11	56
first_last_match	9	57
sorted_ascending	4	58
mountain_pattern	7	59
first_last_match	9	60
palindrome	1	61
sorted_ascending	4	62
palindrome	1	63
decreasing_pairs	6	64
palindrome	1	65
palindrome	1	66
increasing_pairs	8	67
mountain_pattern	7	68
first_last_match	9	69
mountain_pattern	7	70
sorted_ascending	4	71
sorted_ascending	4	72
has_majority	12	73
alternating	2	74
palindrome	1	75
palindrome	1	76
alternating	2	77
no_repeats	11	78
decreasing_pairs	6	79
has_majority	12	80
first_last_match	9	81
alternating	2	82
no_repeats	11	83
mountain_pattern	7	84
decreasing_pairs	6	85
first_last_match	9	86
no_repeats	11	87
palindrome	1	88
decreasing_pairs	6	89
sorted_descending	3	90
sorted_ascending	4	91
sorted_ascending	4	92
alternating	2	93
has_majority	12	94
alternating	2	95
sorted_descending	3	96
has_majority	12	97
alternating	2	98
no_repeats	11	99
no_repeats	11	100
alternating	2	101
no_repeats	11	102
sorted_ascending	4	103
first_last_match	9	104
first_last_match	9	105
sorted_descending	3	106
sorted_ascending	4	107
palindrome	1	108
palindrome	1	109
first_last_match	9	110
alternating	2	111
first_last_match	9	112
has_majority	12	113
palindrome	1	114
alternating	2	115
alternating	2	116
no_repeats	11	117
first_last_match	9	118
increasing_pairs	8	119
has_majority	12	120
alternating	2	121
alternating	2	122
decreasing_pairs	6	123
no_repeats	11	124
alternating	2	125
sorted_descending	3	126
mountain_pattern	7	127
decreasing_pairs	6	128
sorted_ascending	4	129
alternating	2	130
no_repeats	11	131
increasing_pairs	8	132
alternating	2	133
sorted_descending	3	134
alternating	2	135
sorted_descending	3	136
no_repeats	11	137
no_repeats	11	138
increasing_pairs	8	139
has_majority	12	140
palindrome	1	141
sorted_ascending	4	142
sorted_ascending	4	143
mountain_pattern	7	144
palindrome	1	145
sorted_descending	3	146
no_repeats	11	147
has_majority	12	148
has_majority	12	149
sorted_ascending	4	150
palindrome	1	151
first_last_match	9	152
has_majority	12	153
palindrome	1	154
first_last_match	9	155
sorted_ascending	4	156
first_last_match	9	157
increasing_pairs	8	158
no_repeats	11	159
sorted_descending	3	160
sorted_ascending	4	161
mountain_pattern	7	162
sorted_descending	3	163
has_majority	12	164
has_majority	12	165
alternating	2	166
sorted_descending	3	167
palindrome	1	168
has_majority	12	169
palindrome	1	170
sorted_descending	3	171
first_last_match	9	172
has_majority	12	173
sorted_ascending	4	174
sorted_ascending	4	175
no_repeats	11	176
palindrome	1	177
has_majority	12	178
sorted_ascending	4	179
sorted_descending	3	180
has_majority	12	181
increasing_pairs	8	182
sorted_descending	3	183
has_majority	12	184
first_last_match	9	185
first_last_match	9	186
mountain_pattern	7	187
sorted_ascending	4	188
sorted_ascending	4	189
increasing_pairs	8	190
has_majority	12	191
sorted_ascending	4	192
sorted_ascending	4	193
sorted_ascending	4	194
first_last_match	9	195
alternating	2	196
alternating	2	197
has_majority	12	198
palindrome	1	199
no_repeats	11	200
sorted_ascending	4	201
has_majority	12	202
sorted_ascending	4	203
palindrome	1	204
alternating	2	205
alternating	2	206
increasing_pairs	8	207
palindrome	1	208
palindrome	1	209
first_last_match	9	210
palindrome	1	211
sorted_ascending	4	212
mountain_pattern	7	213
mountain_pattern	7	214
palindrome	1	215
sorted_descending	3	216
increasing_pairs	8	217
palindrome	1	218
decreasing_pairs	6	219
has_majority	12	220
first_last_match	9	221
sorted_ascending	4	222
first_last_match	9	223
first_last_match	9	224
no_repeats	11	225
sorted_descending	3	226
sorted_ascending	4	227
decreasing_pairs	6	228
sorted_ascending	4	229
first_last_match	9	230
alternating	2	231
alternating	2	232
sorted_ascending	4	233
first_last_match	9	234
no_repeats	11	235
decreasing_pairs	6	236
sorted_ascending	4	237
has_majority	12	238
alternating	2	239
first_last_match	9	240
sorted_descending	3	241
sorted_descending	3	242
first_last_match	9	243
first_last_match	9	244
sorted_ascending	4	245
first_last_match	9	246
alternating	2	247
palindrome	1	248
no_repeats	11	249
no_repeats	11	250
has_majority	12	251
increasing_pairs	8	252
alternating	2	253
first_last_match	9	254
mountain_pattern	7	255
has_majority	12	256
first_last_match	9	257
first_last_match	9	258
palindrome	1	259
palindrome	1	260
alternating	2	261
alternating	2	262
