pattern	pattern_idx	sample_idx
mountain_pattern	7	0
has_majority	12	1
has_majority	12	2
has_majority	12	3
sorted_ascending	4	4
has_majority	12	5
sorted_ascending	4	6
sorted_ascending	4	7
has_majority	12	8
sorted_descending	3	9
mountain_pattern	7	10
has_majority	12	11
sorted_descending	3	12
has_majority	12	13
has_majority	12	14
mountain_pattern	7	15
mountain_pattern	7	16
sorted_ascending	4	17
sorted_descending	3	18
sorted_ascending	4	19
has_majority	12	20
mountain_pattern	7	21
sorted_ascending	4	22
has_majority	12	23
sorted_ascending	4	24
sorted_ascending	4	25
has_majority	12	26
sorted_ascending	4	27
sorted_descending	3	28
has_majority	12	29
has_majority	12	30
has_majority	12	31
sorted_ascending	4	32
mountain_pattern	7	33
has_majority	12	34
mountain_pattern	7	35
has_majority	12	36
mountain_pattern	7	37
mountain_pattern	7	38
sorted_ascending	4	39
sorted_descending	3	40
has_majority	12	41
has_majority	12	42
sorted_descending	3	43
sorted_descending	3	44
mountain_pattern	7	45
sorted_ascending	4	46
sorted_ascending	4	47
mountain_pattern	7	48
mountain_pattern	7	49
mountain_pattern	7	50
sorted_descending	3	51
sorted_descending	3	52
mountain_pattern	7	53
has_majority	12	54
sorted_ascending	4	55
mountain_pattern	7	56
sorted_ascending	4	57
has_majority	12	58
mountain_pattern	7	59
has_majority	12	60
mountain_pattern	7	61
has_majority	12	62
has_majority	12	63
has_majority	12	64
has_majority	12	65
sorted_descending	3	66
has_majority	12	67
sorted_ascending	4	68
sorted_ascending	4	69
sorted_descending	3	70
mountain_pattern	7	71
mountain_pattern	7	72
has_majority	12	73
sorted_ascending	4	74
mountain_pattern	7	75
mountain_pattern	7	76
sorted_descending	3	77
mountain_pattern	7	78
mountain_pattern	7	79
sorted_descending	3	80
sorted_descending	3	81
has_majority	12	82
sorted_ascending	4	83
has_majority	12	84
mountain_pattern	7	85
sorted_ascending	4	86
has_majority	12	87
mountain_pattern	7	88
sorted_descending	3	89
mountain_pattern	7	90
has_majority	12	91
sorted_ascending	4	92
mountain_pattern	7	93
sorted_descending	3	94
sorted_descending	3	95
sorted_descending	3	96
sorted_descending	3	97
mountain_pattern	7	98
mountain_pattern	7	99
mountain_pattern	7	100
has_majority	12	101
sorted_descending	3	102
sorted_ascending	4	103
has_majority	12	104
has_majority	12	105
mountain_pattern	7	106
sorted_descending	3	107
sorted_descending	3	108
mountain_pattern	7	109
has_majority	12	110
has_majority	12	111
sorted_ascending	4	112
sorted_descending	3	113
sorted_descending	3	114
sorted_descending	3	115
mountain_pattern	7	116
sorted_descending	3	117
sorted_descending	3	118
sorted_ascending	4	119
sorted_ascending	4	120
has_majority	12	121
has_majority	12	122
has_majority	12	123
mountain_pattern	7	124
has_majority	12	125
mountain_pattern	7	126
mountain_pattern	7	127
has_majority	12	128
has_majority	12	129
has_majority	12	130
sorted_ascending	4	131
sorted_ascending	4	132
sorted_descending	3	133
has_majority	12	134
has_majority	12	135
sorted_ascending	4	136
has_majority	12	137
sorted_descending	3	138
mountain_pattern	7	139
mountain_pattern	7	140
has_majority	12	141
sorted_ascending	4	142
sorted_ascending	4	143
sorted_ascending	4	144
has_majority	12	145
sorted_ascending	4	146
sorted_ascending	4	147
sorted_descending	3	148
mountain_pattern	7	149
sorted_ascending	4	150
sorted_ascending	4	151
has_majority	12	152
has_majority	12	153
sorted_ascending	4	154
mountain_pattern	7	155
sorted_descending	3	156
sorted_ascending	4	157
has_majority	12	158
mountain_pattern	7	159
mountain_pattern	7	160
mountain_pattern	7	161
sorted_ascending	4	162
sorted_descending	3	163
has_majority	12	164
sorted_descending	3	165
has_majority	12	166
mountain_pattern	7	167
has_majority	12	168
has_majority	12	169
sorted_ascending	4	170
sorted_ascending	4	171
has_majority	12	172
sorted_descending	3	173
sorted_descending	3	174
has_majority	12	175
sorted_descending	3	176
mountain_pattern	7	177
has_majority	12	178
sorted_ascending	4	179
sorted_ascending	4	180
sorted_ascending	4	181
sorted_ascending	4	182
sorted_descending	3	183
has_majority	12	184
sorted_ascending	4	185
sorted_ascending	4	186
sorted_descending	3	187
mountain_pattern	7	188
sorted_descending	3	189
sorted_ascending	4	190
sorted_ascending	4	191
mountain_pattern	7	192
has_majority	12	193
has_majority	12	194
sorted_ascending	4	195
mountain_pattern	7	196
sorted_descending	3	197
sorted_ascending	4	198
has_majority	12	199
sorted_ascending	4	200
sorted_ascending	4	201
has_majority	12	202
has_majority	12	203
has_majority	12	204
sorted_descending	3	205
mountain_pattern	7	206
sorted_ascending	4	207
sorted_ascending	4	208
sorted_descending	3	209
sorted_descending	3	210
mountain_pattern	7	211
has_majority	12	212
sorted_descending	3	213
sorted_descending	3	214
has_majority	12	215
has_majority	12	216
has_majority	12	217
has_majority	12	218
sorted_ascending	4	219
has_majority	12	220
sorted_ascending	4	221
sorted_descending	3	222
sorted_ascending	4	223
sorted_ascending	4	224
has_majority	12	225
has_majority	12	226
sorted_descending	3	227
sorted_ascending	4	228
sorted_descending	3	229
sorted_ascending	4	230
has_majority	12	231
sorted_descending	3	232
mountain_pattern	7	233
has_majority	12	234
sorted_ascending	4	235
has_majority	12	236
sorted_descending	3	237
has_majority	12	238
has_majority	12	239
mountain_pattern	7	240
sorted_ascending	4	241
has_majority	12	242
sorted_ascending	4	243
has_majority	12	244
has_majority	12	245
mountain_pattern	7	246
has_majority	12	247
sorted_descending	3	248
sorted_descending	3	249
has_majority	12	250
has_majority	12	251
has_majority	12	252
sorted_ascending	4	253
sorted_ascending	4	254
sorted_ascending	4	255
sorted_ascending	4	256
has_majority	12	257
mountain_pattern	7	258
has_majority	12	259
sorted_ascending	4	260
mountain_pattern	7	261
mountain_pattern	7	262
sorted_ascending	4	263
has_majority	12	264
mountain_pattern	7	265
has_majority	12	266
has_majority	12	267
has_majority	12	268
sorted_ascending	4	269
sorted_descending	3	270
sorted_ascending	4	271
sorted_descending	3	272
sorted_descending	3	273
has_majority	12	274
has_majority	12	275
sorted_descending	3	276
mountain_pattern	7	277
sorted_ascending	4	278
mountain_pattern	7	279
mountain_pattern	7	280
mountain_pattern	7	281
has_majority	12	282
sorted_ascending	4	283
mountain_pattern	7	284
sorted_descending	3	285
has_majority	12	286
has_majority	12	287
has_majority	12	288
has_majority	12	289
sorted_descending	3	290
sorted_ascending	4	291
mountain_pattern	7	292
mountain_pattern	7	293
mountain_pattern	7	294
sorted_descending	3	295
sorted_descending	3	296
sorted_descending	3	297
mountain_pattern	7	298
sorted_ascending	4	299
sorted_ascending	4	300
sorted_ascending	4	301
has_majority	12	302
has_majority	12	303
sorted_descending	3	304
has_majority	12	305
mountain_pattern	7	306
mountain_pattern	7	307
mountain_pattern	7	308
has_majority	12	309
has_majority	12	310
mountain_pattern	7	311
has_majority	12	312
has_majority	12	313
has_majority	12	314
has_majority	12	315
sorted_descending	3	316
sorted_descending	3	317
sorted_descending	3	318
mountain_pattern	7	319
mountain_pattern	7	320
mountain_pattern	7	321
sorted_descending	3	322
mountain_pattern	7	323
has_majority	12	324
has_majority	12	325
has_majority	12	326
sorted_ascending	4	327
mountain_pattern	7	328
mountain_pattern	7	329
has_majority	12	330
sorted_ascending	4	331
sorted_ascending	4	332
sorted_descending	3	333
sorted_descending	3	334
mountain_pattern	7	335
sorted_descending	3	336
sorted_ascending	4	337
mountain_pattern	7	338
sorted_descending	3	339
has_majority	12	340
has_majority	12	341
mountain_pattern	7	342
has_majority	12	343
mountain_pattern	7	344
has_majority	12	345
sorted_descending	3	346
has_majority	12	347
sorted_descending	3	348
mountain_pattern	7	349
has_majority	12	350
has_majority	12	351
mountain_pattern	7	352
sorted_ascending	4	353
has_majority	12	354
mountain_pattern	7	355
sorted_ascending	4	356
sorted_descending	3	357
mountain_pattern	7	358
sorted_descending	3	359
has_majority	12	360
sorted_ascending	4	361
mountain_pattern	7	362
has_majority	12	363
has_majority	12	364
mountain_pattern	7	365
has_majority	12	366
has_majority	12	367
sorted_descending	3	368
