pattern	pattern_idx	sample_idx
has_majority	12	0
has_majority	12	1
mountain_pattern	7	2
mountain_pattern	7	3
sorted_descending	3	4
sorted_ascending	4	5
has_majority	12	6
sorted_descending	3	7
sorted_descending	3	8
sorted_descending	3	9
has_majority	12	10
mountain_pattern	7	11
has_majority	12	12
mountain_pattern	7	13
sorted_ascending	4	14
has_majority	12	15
sorted_ascending	4	16
sorted_descending	3	17
mountain_pattern	7	18
sorted_ascending	4	19
sorted_descending	3	20
sorted_ascending	4	21
mountain_pattern	7	22
sorted_ascending	4	23
sorted_ascending	4	24
has_majority	12	25
mountain_pattern	7	26
mountain_pattern	7	27
has_majority	12	28
has_majority	12	29
sorted_ascending	4	30
has_majority	12	31
sorted_descending	3	32
mountain_pattern	7	33
has_majority	12	34
sorted_descending	3	35
has_majority	12	36
sorted_descending	3	37
mountain_pattern	7	38
sorted_ascending	4	39
mountain_pattern	7	40
has_majority	12	41
sorted_ascending	4	42
has_majority	12	43
mountain_pattern	7	44
sorted_ascending	4	45
mountain_pattern	7	46
has_majority	12	47
sorted_ascending	4	48
sorted_ascending	4	49
mountain_pattern	7	50
sorted_descending	3	51
sorted_ascending	4	52
has_majority	12	53
has_majority	12	54
sorted_descending	3	55
mountain_pattern	7	56
sorted_ascending	4	57
has_majority	12	58
sorted_ascending	4	59
has_majority	12	60
sorted_descending	3	61
sorted_ascending	4	62
sorted_descending	3	63
mountain_pattern	7	64
mountain_pattern	7	65
mountain_pattern	7	66
sorted_ascending	4	67
sorted_descending	3	68
sorted_ascending	4	69
mountain_pattern	7	70
mountain_pattern	7	71
has_majority	12	72
mountain_pattern	7	73
mountain_pattern	7	74
sorted_descending	3	75
has_majority	12	76
sorted_descending	3	77
has_majority	12	78
mountain_pattern	7	79
sorted_descending	3	80
sorted_descending	3	81
mountain_pattern	7	82
sorted_descending	3	83
mountain_pattern	7	84
has_majority	12	85
mountain_pattern	7	86
has_majority	12	87
sorted_descending	3	88
sorted_descending	3	89
has_majority	12	90
mountain_pattern	7	91
sorted_ascending	4	92
has_majority	12	93
sorted_descending	3	94
sorted_ascending	4	95
sorted_ascending	4	96
sorted_descending	3	97
sorted_descending	3	98
mountain_pattern	7	99
has_majority	12	100
sorted_ascending	4	101
mountain_pattern	7	102
mountain_pattern	7	103
has_majority	12	104
has_majority	12	105
mountain_pattern	7	106
sorted_descending	3	107
sorted_ascending	4	108
sorted_ascending	4	109
sorted_descending	3	110
has_majority	12	111
has_majority	12	112
has_majority	12	113
mountain_pattern	7	114
mountain_pattern	7	115
has_majority	12	116
sorted_ascending	4	117
sorted_ascending	4	118
has_majority	12	119
sorted_descending	3	120
mountain_pattern	7	121
sorted_descending	3	122
has_majority	12	123
has_majority	12	124
has_majority	12	125
has_majority	12	126
has_majority	12	127
has_majority	12	128
mountain_pattern	7	129
sorted_ascending	4	130
sorted_ascending	4	131
mountain_pattern	7	132
mountain_pattern	7	133
sorted_ascending	4	134
has_majority	12	135
sorted_ascending	4	136
mountain_pattern	7	137
sorted_descending	3	138
mountain_pattern	7	139
sorted_descending	3	140
mountain_pattern	7	141
sorted_ascending	4	142
sorted_ascending	4	143
has_majority	12	144
mountain_pattern	7	145
sorted_descending	3	146
has_majority	12	147
mountain_pattern	7	148
has_majority	12	149
sorted_ascending	4	150
has_majority	12	151
sorted_ascending	4	152
has_majority	12	153
has_majority	12	154
sorted_ascending	4	155
sorted_descending	3	156
sorted_ascending	4	157
sorted_ascending	4	158
mountain_pattern	7	159
mountain_pattern	7	160
has_majority	12	161
sorted_ascending	4	162
sorted_ascending	4	163
mountain_pattern	7	164
sorted_descending	3	165
has_majority	12	166
has_majority	12	167
has_majority	12	168
sorted_ascending	4	169
sorted_ascending	4	170
sorted_ascending	4	171
has_majority	12	172
sorted_descending	3	173
has_majority	12	174
sorted_descending	3	175
has_majority	12	176
sorted_ascending	4	177
sorted_ascending	4	178
has_majority	12	179
sorted_ascending	4	180
sorted_descending	3	181
sorted_descending	3	182
sorted_ascending	4	183
sorted_descending	3	184
has_majority	12	185
sorted_descending	3	186
sorted_ascending	4	187
has_majority	12	188
sorted_descending	3	189
mountain_pattern	7	190
sorted_ascending	4	191
sorted_ascending	4	192
mountain_pattern	7	193
mountain_pattern	7	194
sorted_ascending	4	195
sorted_ascending	4	196
has_majority	12	197
sorted_descending	3	198
mountain_pattern	7	199
mountain_pattern	7	200
sorted_ascending	4	201
sorted_ascending	4	202
mountain_pattern	7	203
mountain_pattern	7	204
sorted_ascending	4	205
has_majority	12	206
mountain_pattern	7	207
mountain_pattern	7	208
has_majority	12	209
mountain_pattern	7	210
sorted_ascending	4	211
mountain_pattern	7	212
sorted_descending	3	213
has_majority	12	214
has_majority	12	215
mountain_pattern	7	216
has_majority	12	217
mountain_pattern	7	218
sorted_descending	3	219
has_majority	12	220
sorted_ascending	4	221
mountain_pattern	7	222
has_majority	12	223
mountain_pattern	7	224
sorted_descending	3	225
mountain_pattern	7	226
mountain_pattern	7	227
mountain_pattern	7	228
has_majority	12	229
sorted_ascending	4	230
has_majority	12	231
sorted_ascending	4	232
sorted_descending	3	233
has_majority	12	234
mountain_pattern	7	235
has_majority	12	236
sorted_ascending	4	237
sorted_ascending	4	238
has_majority	12	239
has_majority	12	240
mountain_pattern	7	241
mountain_pattern	7	242
mountain_pattern	7	243
has_majority	12	244
has_majority	12	245
sorted_descending	3	246
has_majority	12	247
sorted_descending	3	248
has_majority	12	249
sorted_ascending	4	250
has_majority	12	251
has_majority	12	252
mountain_pattern	7	253
sorted_descending	3	254
has_majority	12	255
sorted_descending	3	256
sorted_ascending	4	257
has_majority	12	258
has_majority	12	259
has_majority	12	260
has_majority	12	261
mountain_pattern	7	262
has_majority	12	263
mountain_pattern	7	264
sorted_ascending	4	265
sorted_ascending	4	266
sorted_descending	3	267
sorted_descending	3	268
sorted_ascending	4	269
has_majority	12	270
sorted_descending	3	271
mountain_pattern	7	272
has_majority	12	273
has_majority	12	274
sorted_descending	3	275
sorted_descending	3	276
has_majority	12	277
sorted_descending	3	278
has_majority	12	279
has_majority	12	280
has_majority	12	281
mountain_pattern	7	282
mountain_pattern	7	283
sorted_descending	3	284
has_majority	12	285
has_majority	12	286
mountain_pattern	7	287
has_majority	12	288
mountain_pattern	7	289
sorted_descending	3	290
sorted_ascending	4	291
has_majority	12	292
has_majority	12	293
sorted_ascending	4	294
sorted_descending	3	295
mountain_pattern	7	296
has_majority	12	297
sorted_descending	3	298
sorted_descending	3	299
sorted_ascending	4	300
sorted_descending	3	301
sorted_descending	3	302
sorted_descending	3	303
mountain_pattern	7	304
sorted_ascending	4	305
sorted_descending	3	306
mountain_pattern	7	307
has_majority	12	308
mountain_pattern	7	309
mountain_pattern	7	310
sorted_descending	3	311
has_majority	12	312
mountain_pattern	7	313
has_majority	12	314
mountain_pattern	7	315
sorted_ascending	4	316
mountain_pattern	7	317
sorted_ascending	4	318
has_majority	12	319
has_majority	12	320
sorted_ascending	4	321
mountain_pattern	7	322
mountain_pattern	7	323
has_majority	12	324
mountain_pattern	7	325
mountain_pattern	7	326
sorted_ascending	4	327
mountain_pattern	7	328
sorted_ascending	4	329
sorted_ascending	4	330
sorted_descending	3	331
sorted_ascending	4	332
sorted_descending	3	333
has_majority	12	334
sorted_ascending	4	335
sorted_descending	3	336
sorted_descending	3	337
sorted_descending	3	338
mountain_pattern	7	339
sorted_ascending	4	340
sorted_descending	3	341
has_majority	12	342
mountain_pattern	7	343
sorted_descending	3	344
sorted_ascending	4	345
mountain_pattern	7	346
has_majority	12	347
sorted_ascending	4	348
has_majority	12	349
has_majority	12	350
sorted_descending	3	351
has_majority	12	352
has_majority	12	353
has_majority	12	354
has_majority	12	355
sorted_descending	3	356
has_majority	12	357
has_majority	12	358
has_majority	12	359
mountain_pattern	7	360
sorted_ascending	4	361
has_majority	12	362
has_majority	12	363
has_majority	12	364
mountain_pattern	7	365
mountain_pattern	7	366
mountain_pattern	7	367
sorted_ascending	4	368
sorted_ascending	4	369
sorted_ascending	4	370
sorted_descending	3	371
has_majority	12	372
has_majority	12	373
mountain_pattern	7	374
has_majority	12	375
has_majority	12	376
mountain_pattern	7	377
has_majority	12	378
has_majority	12	379
sorted_ascending	4	380
has_majority	12	381
sorted_descending	3	382
has_majority	12	383
has_majority	12	384
sorted_descending	3	385
has_majority	12	386
has_majority	12	387
mountain_pattern	7	388
sorted_ascending	4	389
has_majority	12	390
has_majority	12	391
has_majority	12	392
has_majority	12	393
mountain_pattern	7	394
mountain_pattern	7	395
sorted_ascending	4	396
mountain_pattern	7	397
mountain_pattern	7	398
