pattern	pattern_idx	sample_idx
sorted_ascending	4	0
has_majority	12	1
sorted_descending	3	2
has_majority	12	3
mountain_pattern	7	4
has_majority	12	5
sorted_descending	3	6
has_majority	12	7
sorted_descending	3	8
mountain_pattern	7	9
sorted_descending	3	10
has_majority	12	11
has_majority	12	12
sorted_descending	3	13
sorted_descending	3	14
mountain_pattern	7	15
has_majority	12	16
mountain_pattern	7	17
mountain_pattern	7	18
sorted_ascending	4	19
mountain_pattern	7	20
sorted_descending	3	21
sorted_descending	3	22
mountain_pattern	7	23
has_majority	12	24
sorted_ascending	4	25
mountain_pattern	7	26
has_majority	12	27
sorted_ascending	4	28
has_majority	12	29
sorted_descending	3	30
has_majority	12	31
mountain_pattern	7	32
has_majority	12	33
sorted_descending	3	34
has_majority	12	35
has_majority	12	36
mountain_pattern	7	37
mountain_pattern	7	38
has_majority	12	39
mountain_pattern	7	40
has_majority	12	41
has_majority	12	42
mountain_pattern	7	43
has_majority	12	44
sorted_ascending	4	45
sorted_descending	3	46
sorted_ascending	4	47
has_majority	12	48
has_majority	12	49
mountain_pattern	7	50
has_majority	12	51
has_majority	12	52
sorted_descending	3	53
has_majority	12	54
sorted_descending	3	55
has_majority	12	56
mountain_pattern	7	57
has_majority	12	58
sorted_descending	3	59
has_majority	12	60
sorted_ascending	4	61
sorted_descending	3	62
has_majority	12	63
has_majority	12	64
has_majority	12	65
sorted_ascending	4	66
has_majority	12	67
sorted_ascending	4	68
has_majority	12	69
has_majority	12	70
sorted_ascending	4	71
sorted_ascending	4	72
sorted_descending	3	73
mountain_pattern	7	74
has_majority	12	75
has_majority	12	76
has_majority	12	77
has_majority	12	78
has_majority	12	79
mountain_pattern	7	80
has_majority	12	81
sorted_descending	3	82
has_majority	12	83
has_majority	12	84
mountain_pattern	7	85
mountain_pattern	7	86
sorted_descending	3	87
mountain_pattern	7	88
sorted_descending	3	89
sorted_descending	3	90
sorted_ascending	4	91
sorted_ascending	4	92
mountain_pattern	7	93
has_majority	12	94
has_majority	12	95
has_majority	12	96
sorted_descending	3	97
mountain_pattern	7	98
sorted_descending	3	99
has_majority	12	100
sorted_descending	3	101
sorted_descending	3	102
sorted_ascending	4	103
has_majority	12	104
has_majority	12	105
sorted_descending	3	106
mountain_pattern	7	107
has_majority	12	108
sorted_ascending	4	109
mountain_pattern	7	110
sorted_ascending	4	111
sorted_ascending	4	112
sorted_descending	3	113
sorted_ascending	4	114
has_majority	12	115
has_majority	12	116
sorted_descending	3	117
mountain_pattern	7	118
has_majority	12	119
mountain_pattern	7	120
sorted_ascending	4	121
sorted_ascending	4	122
sorted_ascending	4	123
sorted_descending	3	124
has_majority	12	125
has_majority	12	126
has_majority	12	127
sorted_ascending	4	128
has_majority	12	129
sorted_ascending	4	130
sorted_ascending	4	131
mountain_pattern	7	132
has_majority	12	133
sorted_ascending	4	134
sorted_descending	3	135
mountain_pattern	7	136
sorted_ascending	4	137
has_majority	12	138
sorted_ascending	4	139
has_majority	12	140
sorted_ascending	4	141
has_majority	12	142
sorted_ascending	4	143
sorted_ascending	4	144
sorted_ascending	4	145
sorted_descending	3	146
sorted_ascending	4	147
sorted_descending	3	148
mountain_pattern	7	149
sorted_descending	3	150
has_majority	12	151
sorted_descending	3	152
mountain_pattern	7	153
has_majority	12	154
sorted_descending	3	155
sorted_ascending	4	156
mountain_pattern	7	157
sorted_descending	3	158
has_majority	12	159
has_majority	12	160
has_majority	12	161
has_majority	12	162
sorted_ascending	4	163
sorted_ascending	4	164
has_majority	12	165
has_majority	12	166
sorted_descending	3	167
sorted_ascending	4	168
sorted_descending	3	169
sorted_descending	3	170
sorted_descending	3	171
mountain_pattern	7	172
has_majority	12	173
has_majority	12	174
has_majority	12	175
mountain_pattern	7	176
has_majority	12	177
sorted_descending	3	178
has_majority	12	179
sorted_ascending	4	180
sorted_ascending	4	181
has_majority	12	182
sorted_descending	3	183
has_majority	12	184
mountain_pattern	7	185
sorted_ascending	4	186
mountain_pattern	7	187
has_majority	12	188
mountain_pattern	7	189
has_majority	12	190
mountain_pattern	7	191
sorted_ascending	4	192
mountain_pattern	7	193
mountain_pattern	7	194
mountain_pattern	7	195
mountain_pattern	7	196
has_majority	12	197
has_majority	12	198
sorted_ascending	4	199
mountain_pattern	7	200
sorted_descending	3	201
sorted_ascending	4	202
sorted_ascending	4	203
sorted_descending	3	204
sorted_descending	3	205
sorted_descending	3	206
sorted_descending	3	207
sorted_descending	3	208
sorted_ascending	4	209
sorted_ascending	4	210
has_majority	12	211
mountain_pattern	7	212
sorted_descending	3	213
sorted_descending	3	214
mountain_pattern	7	215
sorted_descending	3	216
sorted_ascending	4	217
mountain_pattern	7	218
sorted_descending	3	219
mountain_pattern	7	220
sorted_descending	3	221
sorted_ascending	4	222
sorted_ascending	4	223
sorted_descending	3	224
mountain_pattern	7	225
mountain_pattern	7	226
mountain_pattern	7	227
has_majority	12	228
sorted_ascending	4	229
sorted_descending	3	230
sorted_descending	3	231
sorted_ascending	4	232
sorted_ascending	4	233
has_majority	12	234
sorted_descending	3	235
mountain_pattern	7	236
has_majority	12	237
sorted_descending	3	238
mountain_pattern	7	239
has_majority	12	240
mountain_pattern	7	241
mountain_pattern	7	242
has_majority	12	243
mountain_pattern	7	244
sorted_ascending	4	245
sorted_descending	3	246
sorted_ascending	4	247
sorted_ascending	4	248
has_majority	12	249
sorted_ascending	4	250
mountain_pattern	7	251
sorted_descending	3	252
mountain_pattern	7	253
mountain_pattern	7	254
has_majority	12	255
mountain_pattern	7	256
mountain_pattern	7	257
has_majority	12	258
sorted_ascending	4	259
mountain_pattern	7	260
has_majority	12	261
sorted_ascending	4	262
sorted_descending	3	263
sorted_descending	3	264
has_majority	12	265
sorted_ascending	4	266
mountain_pattern	7	267
sorted_ascending	4	268
has_majority	12	269
mountain_pattern	7	270
sorted_ascending	4	271
has_majority	12	272
has_majority	12	273
sorted_descending	3	274
sorted_ascending	4	275
has_majority	12	276
sorted_ascending	4	277
mountain_pattern	7	278
sorted_ascending	4	279
has_majority	12	280
sorted_descending	3	281
has_majority	12	282
sorted_ascending	4	283
sorted_ascending	4	284
mountain_pattern	7	285
mountain_pattern	7	286
mountain_pattern	7	287
mountain_pattern	7	288
sorted_ascending	4	289
sorted_descending	3	290
sorted_ascending	4	291
mountain_pattern	7	292
has_majority	12	293
sorted_ascending	4	294
sorted_ascending	4	295
has_majority	12	296
mountain_pattern	7	297
has_majority	12	298
has_majority	12	299
