pattern	pattern_idx	sample_idx
has_majority	12	0
mountain_pattern	7	1
sorted_descending	3	2
sorted_descending	3	3
mountain_pattern	7	4
sorted_ascending	4	5
sorted_ascending	4	6
has_majority	12	7
sorted_ascending	4	8
sorted_ascending	4	9
sorted_ascending	4	10
sorted_ascending	4	11
sorted_ascending	4	12
has_majority	12	13
sorted_descending	3	14
sorted_descending	3	15
sorted_descending	3	16
has_majority	12	17
has_majority	12	18
sorted_descending	3	19
mountain_pattern	7	20
mountain_pattern	7	21
has_majority	12	22
sorted_descending	3	23
sorted_descending	3	24
sorted_descending	3	25
has_majority	12	26
mountain_pattern	7	27
mountain_pattern	7	28
has_majority	12	29
sorted_ascending	4	30
sorted_ascending	4	31
has_majority	12	32
sorted_ascending	4	33
sorted_ascending	4	34
has_majority	12	35
sorted_ascending	4	36
sorted_ascending	4	37
mountain_pattern	7	38
mountain_pattern	7	39
mountain_pattern	7	40
has_majority	12	41
mountain_pattern	7	42
sorted_descending	3	43
has_majority	12	44
has_majority	12	45
has_majority	12	46
sorted_ascending	4	47
mountain_pattern	7	48
sorted_ascending	4	49
mountain_pattern	7	50
sorted_descending	3	51
sorted_descending	3	52
sorted_descending	3	53
sorted_descending	3	54
mountain_pattern	7	55
sorted_descending	3	56
sorted_ascending	4	57
has_majority	12	58
sorted_ascending	4	59
sorted_ascending	4	60
has_majority	12	61
mountain_pattern	7	62
mountain_pattern	7	63
sorted_ascending	4	64
has_majority	12	65
has_majority	12	66
sorted_descending	3	67
sorted_descending	3	68
mountain_pattern	7	69
has_majority	12	70
has_majority	12	71
has_majority	12	72
has_majority	12	73
sorted_ascending	4	74
mountain_pattern	7	75
sorted_descending	3	76
has_majority	12	77
sorted_ascending	4	78
has_majority	12	79
has_majority	12	80
has_majority	12	81
has_majority	12	82
sorted_ascending	4	83
has_majority	12	84
has_majority	12	85
sorted_ascending	4	86
mountain_pattern	7	87
mountain_pattern	7	88
sorted_ascending	4	89
sorted_ascending	4	90
sorted_descending	3	91
mountain_pattern	7	92
has_majority	12	93
sorted_ascending	4	94
mountain_pattern	7	95
sorted_ascending	4	96
has_majority	12	97
has_majority	12	98
sorted_ascending	4	99
mountain_pattern	7	100
mountain_pattern	7	101
has_majority	12	102
has_majority	12	103
has_majority	12	104
sorted_ascending	4	105
sorted_ascending	4	106
sorted_ascending	4	107
mountain_pattern	7	108
mountain_pattern	7	109
sorted_descending	3	110
sorted_descending	3	111
has_majority	12	112
sorted_ascending	4	113
sorted_ascending	4	114
sorted_ascending	4	115
has_majority	12	116
sorted_ascending	4	117
sorted_descending	3	118
mountain_pattern	7	119
sorted_ascending	4	120
mountain_pattern	7	121
mountain_pattern	7	122
mountain_pattern	7	123
has_majority	12	124
sorted_ascending	4	125
sorted_ascending	4	126
has_majority	12	127
sorted_descending	3	128
sorted_descending	3	129
sorted_ascending	4	130
sorted_ascending	4	131
mountain_pattern	7	132
sorted_descending	3	133
has_majority	12	134
sorted_ascending	4	135
sorted_descending	3	136
sorted_ascending	4	137
mountain_pattern	7	138
sorted_ascending	4	139
sorted_ascending	4	140
sorted_descending	3	141
has_majority	12	142
sorted_descending	3	143
sorted_descending	3	144
has_majority	12	145
has_majority	12	146
sorted_descending	3	147
has_majority	12	148
sorted_descending	3	149
mountain_pattern	7	150
mountain_pattern	7	151
sorted_ascending	4	152
mountain_pattern	7	153
sorted_descending	3	154
sorted_descending	3	155
mountain_pattern	7	156
sorted_descending	3	157
sorted_descending	3	158
has_majority	12	159
has_majority	12	160
sorted_ascending	4	161
mountain_pattern	7	162
sorted_ascending	4	163
sorted_descending	3	164
sorted_ascending	4	165
has_majority	12	166
mountain_pattern	7	167
sorted_descending	3	168
sorted_descending	3	169
sorted_ascending	4	170
mountain_pattern	7	171
sorted_descending	3	172
sorted_descending	3	173
mountain_pattern	7	174
has_majority	12	175
sorted_descending	3	176
has_majority	12	177
has_majority	12	178
has_majority	12	179
has_majority	12	180
has_majority	12	181
sorted_descending	3	182
has_majority	12	183
mountain_pattern	7	184
has_majority	12	185
mountain_pattern	7	186
has_majority	12	187
mountain_pattern	7	188
mountain_pattern	7	189
sorted_ascending	4	190
has_majority	12	191
sorted_ascending	4	192
sorted_ascending	4	193
has_majority	12	194
has_majority	12	195
sorted_ascending	4	196
has_majority	12	197
mountain_pattern	7	198
has_majority	12	199
mountain_pattern	7	200
sorted_descending	3	201
has_majority	12	202
has_majority	12	203
sorted_descending	3	204
has_majority	12	205
sorted_ascending	4	206
has_majority	12	207
has_majority	12	208
mountain_pattern	7	209
has_majority	12	210
has_majority	12	211
sorted_ascending	4	212
mountain_pattern	7	213
mountain_pattern	7	214
sorted_ascending	4	215
sorted_descending	3	216
has_majority	12	217
mountain_pattern	7	218
mountain_pattern	7	219
mountain_pattern	7	220
has_majority	12	221
sorted_ascending	4	222
mountain_pattern	7	223
sorted_descending	3	224
has_majority	12	225
sorted_ascending	4	226
sorted_descending	3	227
sorted_ascending	4	228
has_majority	12	229
has_majority	12	230
sorted_descending	3	231
has_majority	12	232
sorted_ascending	4	233
mountain_pattern	7	234
sorted_ascending	4	235
sorted_ascending	4	236
sorted_ascending	4	237
mountain_pattern	7	238
mountain_pattern	7	239
sorted_descending	3	240
mountain_pattern	7	241
has_majority	12	242
sorted_ascending	4	243
sorted_descending	3	244
mountain_pattern	7	245
has_majority	12	246
mountain_pattern	7	247
sorted_descending	3	248
sorted_ascending	4	249
has_majority	12	250
sorted_ascending	4	251
has_majority	12	252
sorted_ascending	4	253
has_majority	12	254
sorted_descending	3	255
sorted_ascending	4	256
has_majority	12	257
sorted_ascending	4	258
has_majority	12	259
sorted_descending	3	260
sorted_ascending	4	261
sorted_descending	3	262
mountain_pattern	7	263
sorted_ascending	4	264
has_majority	12	265
sorted_descending	3	266
sorted_ascending	4	267
mountain_pattern	7	268
has_majority	12	269
mountain_pattern	7	270
mountain_pattern	7	271
sorted_ascending	4	272
has_majority	12	273
has_majority	12	274
mountain_pattern	7	275
has_majority	12	276
sorted_descending	3	277
sorted_ascending	4	278
sorted_descending	3	279
has_majority	12	280
has_majority	12	281
sorted_ascending	4	282
mountain_pattern	7	283
sorted_ascending	4	284
mountain_pattern	7	285
has_majority	12	286
has_majority	12	287
mountain_pattern	7	288
sorted_descending	3	289
sorted_descending	3	290
sorted_ascending	4	291
sorted_descending	3	292
mountain_pattern	7	293
has_majority	12	294
sorted_ascending	4	295
sorted_ascending	4	296
has_majority	12	297
has_majority	12	298
has_majority	12	299
sorted_descending	3	300
sorted_ascending	4	301
sorted_ascending	4	302
mountain_pattern	7	303
sorted_ascending	4	304
has_majority	12	305
has_majority	12	306
sorted_ascending	4	307
mountain_pattern	7	308
mountain_pattern	7	309
sorted_descending	3	310
sorted_ascending	4	311
sorted_ascending	4	312
has_majority	12	313
sorted_ascending	4	314
mountain_pattern	7	315
sorted_ascending	4	316
sorted_ascending	4	317
sorted_ascending	4	318
sorted_descending	3	319
