pattern	pattern_idx	sample_idx
sorted_ascending	4	0
sorted_ascending	4	1
has_majority	12	2
has_majority	12	3
mountain_pattern	7	4
mountain_pattern	7	5
sorted_ascending	4	6
has_majority	12	7
has_majority	12	8
mountain_pattern	7	9
mountain_pattern	7	10
sorted_ascending	4	11
mountain_pattern	7	12
has_majority	12	13
sorted_descending	3	14
sorted_descending	3	15
sorted_ascending	4	16
sorted_descending	3	17
sorted_ascending	4	18
sorted_ascending	4	19
mountain_pattern	7	20
has_majority	12	21
has_majority	12	22
mountain_pattern	7	23
has_majority	12	24
has_majority	12	25
has_majority	12	26
has_majority	12	27
has_majority	12	28
has_majority	12	29
has_majority	12	30
sorted_descending	3	31
sorted_descending	3	32
sorted_descending	3	33
sorted_descending	3	34
sorted_ascending	4	35
has_majority	12	36
mountain_pattern	7	37
has_majority	12	38
sorted_ascending	4	39
sorted_ascending	4	40
has_majority	12	41
sorted_ascending	4	42
has_majority	12	43
mountain_pattern	7	44
has_majority	12	45
has_majority	12	46
mountain_pattern	7	47
sorted_descending	3	48
mountain_pattern	7	49
mountain_pattern	7	50
mountain_pattern	7	51
sorted_descending	3	52
sorted_ascending	4	53
sorted_descending	3	54
has_majority	12	55
has_majority	12	56
has_majority	12	57
mountain_pattern	7	58
sorted_descending	3	59
sorted_ascending	4	60
sorted_descending	3	61
sorted_descending	3	62
sorted_ascending	4	63
has_majority	12	64
mountain_pattern	7	65
has_majority	12	66
mountain_pattern	7	67
sorted_descending	3	68
sorted_descending	3	69
sorted_ascending	4	70
has_majority	12	71
sorted_ascending	4	72
mountain_pattern	7	73
has_majority	12	74
sorted_ascending	4	75
has_majority	12	76
mountain_pattern	7	77
has_majority	12	78
sorted_descending	3	79
has_majority	12	80
sorted_ascending	4	81
sorted_ascending	4	82
sorted_descending	3	83
mountain_pattern	7	84
has_majority	12	85
has_majority	12	86
mountain_pattern	7	87
mountain_pattern	7	88
sorted_descending	3	89
sorted_ascending	4	90
mountain_pattern	7	91
sorted_ascending	4	92
sorted_ascending	4	93
sorted_descending	3	94
has_majority	12	95
sorted_ascending	4	96
mountain_pattern	7	97
sorted_descending	3	98
has_majority	12	99
sorted_descending	3	100
sorted_ascending	4	101
sorted_descending	3	102
sorted_ascending	4	103
mountain_pattern	7	104
mountain_pattern	7	105
sorted_ascending	4	106
mountain_pattern	7	107
sorted_descending	3	108
has_majority	12	109
sorted_descending	3	110
sorted_descending	3	111
sorted_descending	3	112
has_majority	12	113
has_majority	12	114
sorted_ascending	4	115
sorted_descending	3	116
sorted_descending	3	117
mountain_pattern	7	118
sorted_ascending	4	119
sorted_ascending	4	120
has_majority	12	121
sorted_ascending	4	122
has_majority	12	123
sorted_ascending	4	124
sorted_descending	3	125
mountain_pattern	7	126
sorted_ascending	4	127
mountain_pattern	7	128
sorted_descending	3	129
has_majority	12	130
has_majority	12	131
sorted_ascending	4	132
sorted_ascending	4	133
sorted_ascending	4	134
has_majority	12	135
sorted_descending	3	136
sorted_descending	3	137
sorted_ascending	4	138
has_majority	12	139
has_majority	12	140
has_majority	12	141
has_majority	12	142
sorted_descending	3	143
sorted_ascending	4	144
mountain_pattern	7	145
sorted_descending	3	146
sorted_ascending	4	147
has_majority	12	148
sorted_ascending	4	149
has_majority	12	150
mountain_pattern	7	151
sorted_descending	3	152
mountain_pattern	7	153
has_majority	12	154
has_majority	12	155
mountain_pattern	7	156
sorted_ascending	4	157
sorted_ascending	4	158
sorted_descending	3	159
mountain_pattern	7	160
mountain_pattern	7	161
has_majority	12	162
sorted_descending	3	163
sorted_ascending	4	164
mountain_pattern	7	165
mountain_pattern	7	166
sorted_ascending	4	167
has_majority	12	168
has_majority	12	169
has_majority	12	170
sorted_ascending	4	171
sorted_ascending	4	172
has_majority	12	173
has_majority	12	174
has_majority	12	175
sorted_ascending	4	176
mountain_pattern	7	177
sorted_ascending	4	178
has_majority	12	179
has_majority	12	180
sorted_descending	3	181
has_majority	12	182
sorted_ascending	4	183
sorted_ascending	4	184
sorted_descending	3	185
sorted_ascending	4	186
mountain_pattern	7	187
sorted_descending	3	188
mountain_pattern	7	189
mountain_pattern	7	190
sorted_descending	3	191
has_majority	12	192
has_majority	12	193
sorted_ascending	4	194
sorted_ascending	4	195
sorted_descending	3	196
mountain_pattern	7	197
has_majority	12	198
sorted_ascending	4	199
has_majority	12	200
sorted_descending	3	201
mountain_pattern	7	202
has_majority	12	203
sorted_ascending	4	204
has_majority	12	205
has_majority	12	206
sorted_ascending	4	207
has_majority	12	208
has_majority	12	209
sorted_descending	3	210
sorted_descending	3	211
sorted_descending	3	212
has_majority	12	213
has_majority	12	214
mountain_pattern	7	215
mountain_pattern	7	216
mountain_pattern	7	217
sorted_ascending	4	218
sorted_descending	3	219
has_majority	12	220
has_majority	12	221
sorted_descending	3	222
sorted_descending	3	223
has_majority	12	224
has_majority	12	225
mountain_pattern	7	226
has_majority	12	227
mountain_pattern	7	228
sorted_ascending	4	229
has_majority	12	230
sorted_ascending	4	231
sorted_descending	3	232
has_majority	12	233
has_majority	12	234
sorted_descending	3	235
sorted_descending	3	236
sorted_ascending	4	237
mountain_pattern	7	238
mountain_pattern	7	239
mountain_pattern	7	240
has_majority	12	241
sorted_ascending	4	242
mountain_pattern	7	243
sorted_descending	3	244
has_majority	12	245
sorted_descending	3	246
mountain_pattern	7	247
mountain_pattern	7	248
sorted_descending	3	249
has_majority	12	250
has_majority	12	251
has_majority	12	252
has_majority	12	253
has_majority	12	254
mountain_pattern	7	255
mountain_pattern	7	256
sorted_ascending	4	257
sorted_descending	3	258
sorted_ascending	4	259
mountain_pattern	7	260
has_majority	12	261
mountain_pattern	7	262
has_majority	12	263
sorted_ascending	4	264
has_majority	12	265
sorted_descending	3	266
has_majority	12	267
sorted_ascending	4	268
sorted_ascending	4	269
mountain_pattern	7	270
mountain_pattern	7	271
mountain_pattern	7	272
has_majority	12	273
has_majority	12	274
mountain_pattern	7	275
sorted_descending	3	276
sorted_ascending	4	277
sorted_ascending	4	278
sorted_descending	3	279
mountain_pattern	7	280
mountain_pattern	7	281
sorted_descending	3	282
sorted_ascending	4	283
sorted_descending	3	284
has_majority	12	285
sorted_ascending	4	286
has_majority	12	287
mountain_pattern	7	288
has_majority	12	289
sorted_ascending	4	290
has_majority	12	291
has_majority	12	292
mountain_pattern	7	293
has_majority	12	294
sorted_ascending	4	295
sorted_ascending	4	296
has_majority	12	297
has_majority	12	298
sorted_ascending	4	299
has_majority	12	300
has_majority	12	301
sorted_descending	3	302
sorted_ascending	4	303
sorted_ascending	4	304
has_majority	12	305
sorted_descending	3	306
has_majority	12	307
mountain_pattern	7	308
mountain_pattern	7	309
sorted_descending	3	310
sorted_ascending	4	311
sorted_ascending	4	312
mountain_pattern	7	313
has_majority	12	314
has_majority	12	315
has_majority	12	316
sorted_descending	3	317
has_majority	12	318
has_majority	12	319
has_majority	12	320
sorted_descending	3	321
sorted_descending	3	322
has_majority	12	323
mountain_pattern	7	324
mountain_pattern	7	325
mountain_pattern	7	326
mountain_pattern	7	327
has_majority	12	328
sorted_ascending	4	329
has_majority	12	330
has_majority	12	331
sorted_descending	3	332
mountain_pattern	7	333
has_majority	12	334
sorted_ascending	4	335
sorted_descending	3	336
has_majority	12	337
has_majority	12	338
has_majority	12	339
