pattern	pattern_idx	sample_idx
mountain_pattern	7	0
sorted_descending	3	1
mountain_pattern	7	2
sorted_descending	3	3
sorted_descending	3	4
has_majority	12	5
mountain_pattern	7	6
sorted_ascending	4	7
has_majority	12	8
mountain_pattern	7	9
mountain_pattern	7	10
sorted_descending	3	11
has_majority	12	12
sorted_descending	3	13
sorted_ascending	4	14
sorted_ascending	4	15
sorted_ascending	4	16
sorted_descending	3	17
mountain_pattern	7	18
mountain_pattern	7	19
has_majority	12	20
mountain_pattern	7	21
sorted_ascending	4	22
mountain_pattern	7	23
has_majority	12	24
has_majority	12	25
mountain_pattern	7	26
mountain_pattern	7	27
sorted_descending	3	28
has_majority	12	29
sorted_ascending	4	30
sorted_descending	3	31
has_majority	12	32
sorted_descending	3	33
sorted_ascending	4	34
has_majority	12	35
mountain_pattern	7	36
has_majority	12	37
has_majority	12	38
has_majority	12	39
sorted_ascending	4	40
mountain_pattern	7	41
sorted_ascending	4	42
mountain_pattern	7	43
has_majority	12	44
sorted_descending	3	45
mountain_pattern	7	46
sorted_ascending	4	47
sorted_descending	3	48
sorted_descending	3	49
mountain_pattern	7	50
mountain_pattern	7	51
mountain_pattern	7	52
mountain_pattern	7	53
sorted_ascending	4	54
mountain_pattern	7	55
has_majority	12	56
has_majority	12	57
sorted_descending	3	58
sorted_ascending	4	59
has_majority	12	60
sorted_ascending	4	61
sorted_descending	3	62
sorted_descending	3	63
sorted_ascending	4	64
sorted_ascending	4	65
sorted_descending	3	66
sorted_ascending	4	67
sorted_descending	3	68
sorted_ascending	4	69
sorted_ascending	4	70
mountain_pattern	7	71
has_majority	12	72
sorted_ascending	4	73
mountain_pattern	7	74
has_majority	12	75
has_majority	12	76
mountain_pattern	7	77
sorted_ascending	4	78
has_majority	12	79
sorted_descending	3	80
sorted_descending	3	81
sorted_descending	3	82
sorted_ascending	4	83
has_majority	12	84
mountain_pattern	7	85
has_majority	12	86
mountain_pattern	7	87
sorted_ascending	4	88
sorted_ascending	4	89
sorted_ascending	4	90
has_majority	12	91
sorted_ascending	4	92
sorted_ascending	4	93
has_majority	12	94
has_majority	12	95
sorted_descending	3	96
mountain_pattern	7	97
mountain_pattern	7	98
has_majority	12	99
mountain_pattern	7	100
mountain_pattern	7	101
has_majority	12	102
sorted_ascending	4	103
sorted_ascending	4	104
sorted_descending	3	105
sorted_descending	3	106
sorted_ascending	4	107
sorted_ascending	4	108
mountain_pattern	7	109
sorted_ascending	4	110
has_majority	12	111
mountain_pattern	7	112
sorted_descending	3	113
has_majority	12	114
has_majority	12	115
has_majority	12	116
mountain_pattern	7	117
has_majority	12	118
sorted_ascending	4	119
has_majority	12	120
has_majority	12	121
has_majority	12	122
mountain_pattern	7	123
has_majority	12	124
has_majority	12	125
mountain_pattern	7	126
has_majority	12	127
mountain_pattern	7	128
sorted_ascending	4	129
sorted_ascending	4	130
has_majority	12	131
sorted_descending	3	132
mountain_pattern	7	133
sorted_ascending	4	134
sorted_ascending	4	135
has_majority	12	136
sorted_ascending	4	137
sorted_ascending	4	138
has_majority	12	139
sorted_descending	3	140
sorted_descending	3	141
sorted_descending	3	142
has_majority	12	143
mountain_pattern	7	144
sorted_ascending	4	145
sorted_descending	3	146
mountain_pattern	7	147
sorted_descending	3	148
has_majority	12	149
mountain_pattern	7	150
has_majority	12	151
has_majority	12	152
sorted_ascending	4	153
sorted_ascending	4	154
sorted_ascending	4	155
sorted_descending	3	156
has_majority	12	157
mountain_pattern	7	158
sorted_descending	3	159
sorted_ascending	4	160
sorted_descending	3	161
has_majority	12	162
mountain_pattern	7	163
has_majority	12	164
sorted_ascending	4	165
mountain_pattern	7	166
sorted_ascending	4	167
mountain_pattern	7	168
has_majority	12	169
sorted_ascending	4	170
sorted_descending	3	171
has_majority	12	172
sorted_ascending	4	173
has_majority	12	174
sorted_ascending	4	175
mountain_pattern	7	176
sorted_descending	3	177
sorted_descending	3	178
has_majority	12	179
sorted_ascending	4	180
has_majority	12	181
mountain_pattern	7	182
has_majority	12	183
sorted_descending	3	184
has_majority	12	185
sorted_ascending	4	186
mountain_pattern	7	187
has_majority	12	188
sorted_descending	3	189
mountain_pattern	7	190
sorted_ascending	4	191
mountain_pattern	7	192
has_majority	12	193
has_majority	12	194
has_majority	12	195
has_majority	12	196
sorted_ascending	4	197
sorted_descending	3	198
mountain_pattern	7	199
mountain_pattern	7	200
sorted_descending	3	201
has_majority	12	202
mountain_pattern	7	203
mountain_pattern	7	204
sorted_descending	3	205
has_majority	12	206
has_majority	12	207
sorted_descending	3	208
sorted_descending	3	209
sorted_ascending	4	210
mountain_pattern	7	211
sorted_ascending	4	212
sorted_ascending	4	213
sorted_descending	3	214
mountain_pattern	7	215
mountain_pattern	7	216
mountain_pattern	7	217
has_majority	12	218
sorted_descending	3	219
sorted_descending	3	220
has_majority	12	221
sorted_descending	3	222
mountain_pattern	7	223
has_majority	12	224
mountain_pattern	7	225
mountain_pattern	7	226
sorted_ascending	4	227
has_majority	12	228
sorted_descending	3	229
sorted_descending	3	230
sorted_ascending	4	231
has_majority	12	232
mountain_pattern	7	233
mountain_pattern	7	234
sorted_ascending	4	235
sorted_ascending	4	236
mountain_pattern	7	237
has_majority	12	238
has_majority	12	239
has_majority	12	240
sorted_descending	3	241
has_majority	12	242
sorted_ascending	4	243
mountain_pattern	7	244
sorted_ascending	4	245
has_majority	12	246
mountain_pattern	7	247
mountain_pattern	7	248
has_majority	12	249
sorted_descending	3	250
sorted_descending	3	251
sorted_ascending	4	252
sorted_ascending	4	253
has_majority	12	254
sorted_ascending	4	255
sorted_ascending	4	256
mountain_pattern	7	257
has_majority	12	258
sorted_ascending	4	259
sorted_ascending	4	260
sorted_ascending	4	261
sorted_descending	3	262
mountain_pattern	7	263
has_majority	12	264
sorted_ascending	4	265
has_majority	12	266
sorted_ascending	4	267
sorted_ascending	4	268
sorted_ascending	4	269
has_majority	12	270
sorted_descending	3	271
sorted_descending	3	272
has_majority	12	273
has_majority	12	274
sorted_ascending	4	275
sorted_descending	3	276
has_majority	12	277
has_majority	12	278
sorted_descending	3	279
has_majority	12	280
sorted_descending	3	281
has_majority	12	282
has_majority	12	283
sorted_ascending	4	284
mountain_pattern	7	285
sorted_ascending	4	286
has_majority	12	287
mountain_pattern	7	288
sorted_ascending	4	289
sorted_ascending	4	290
has_majority	12	291
sorted_descending	3	292
has_majority	12	293
has_majority	12	294
sorted_ascending	4	295
mountain_pattern	7	296
sorted_ascending	4	297
mountain_pattern	7	298
mountain_pattern	7	299
sorted_ascending	4	300
mountain_pattern	7	301
has_majority	12	302
mountain_pattern	7	303
mountain_pattern	7	304
sorted_descending	3	305
has_majority	12	306
sorted_ascending	4	307
mountain_pattern	7	308
mountain_pattern	7	309
has_majority	12	310
sorted_descending	3	311
has_majority	12	312
sorted_descending	3	313
has_majority	12	314
sorted_ascending	4	315
sorted_descending	3	316
sorted_ascending	4	317
sorted_ascending	4	318
has_majority	12	319
mountain_pattern	7	320
sorted_ascending	4	321
has_majority	12	322
has_majority	12	323
mountain_pattern	7	324
sorted_descending	3	325
has_majority	12	326
has_majority	12	327
has_majority	12	328
mountain_pattern	7	329
sorted_ascending	4	330
sorted_ascending	4	331
has_majority	12	332
sorted_descending	3	333
has_majority	12	334
sorted_ascending	4	335
sorted_descending	3	336
has_majority	12	337
has_majority	12	338
mountain_pattern	7	339
has_majority	12	340
sorted_ascending	4	341
sorted_descending	3	342
sorted_descending	3	343
sorted_ascending	4	344
sorted_descending	3	345
has_majority	12	346
has_majority	12	347
mountain_pattern	7	348
sorted_descending	3	349
sorted_descending	3	350
sorted_descending	3	351
sorted_ascending	4	352
sorted_descending	3	353
sorted_descending	3	354
sorted_descending	3	355
sorted_ascending	4	356
sorted_ascending	4	357
sorted_descending	3	358
mountain_pattern	7	359
sorted_ascending	4	360
sorted_ascending	4	361
mountain_pattern	7	362
has_majority	12	363
sorted_descending	3	364
mountain_pattern	7	365
has_majority	12	366
mountain_pattern	7	367
mountain_pattern	7	368
sorted_ascending	4	369
mountain_pattern	7	370
has_majority	12	371
sorted_descending	3	372
has_majority	12	373
has_majority	12	374
has_majority	12	375
sorted_ascending	4	376
sorted_descending	3	377
has_majority	12	378
sorted_descending	3	379
sorted_descending	3	380
mountain_pattern	7	381
has_majority	12	382
sorted_ascending	4	383
sorted_descending	3	384
sorted_ascending	4	385
sorted_descending	3	386
has_majority	12	387
sorted_descending	3	388
mountain_pattern	7	389
has_majority	12	390
mountain_pattern	7	391
sorted_ascending	4	392
sorted_ascending	4	393
sorted_ascending	4	394
has_majority	12	395
sorted_descending	3	396
mountain_pattern	7	397
has_majority	12	398
