pattern	pattern_idx	sample_idx
sorted_ascending	4	0
sorted_ascending	4	1
sorted_ascending	4	2
sorted_descending	3	3
sorted_ascending	4	4
no_repeats	11	5
no_repeats	11	6
sorted_descending	3	7
alternating	2	8
first_last_match	9	9
sorted_descending	3	10
increasing_pairs	8	11
mountain_pattern	7	12
sorted_ascending	4	13
has_majority	12	14
decreasing_pairs	6	15
alternating	2	16
sorted_ascending	4	17
sorted_ascending	4	18
sorted_ascending	4	19
palindrome	1	20
first_last_match	9	21
sorted_ascending	4	22
sorted_ascending	4	23
alternating	2	24
sorted_descending	3	25
has_majority	12	26
alternating	2	27
increasing_pairs	8	28
first_last_match	9	29
decreasing_pairs	6	30
decreasing_pairs	6	31
first_last_match	9	32
no_repeats	11	33
sorted_descending	3	34
decreasing_pairs	6	35
no_repeats	11	36
first_last_match	9	37
has_majority	12	38
first_last_match	9	39
first_last_match	9	40
sorted_descending	3	41
alternating	2	42
sorted_ascending	4	43
has_majority	12	44
increasing_pairs	8	45
mountain_pattern	7	46
alternating	2	47
alternating	2	48
no_repeats	11	49
alternating	2	50
has_majority	12	51
sorted_descending	3	52
no_repeats	11	53
sorted_descending	3	54
increasing_pairs	8	55
alternating	2	56
first_last_match	9	57
sorted_ascending	4	58
has_majority	12	59
sorted_ascending	4	60
sorted_descending	3	61
alternating	2	62
mountain_pattern	7	63
no_repeats	11	64
first_last_match	9	65
palindrome	1	66
has_majority	12	67
first_last_match	9	68
decreasing_pairs	6	69
increasing_pairs	8	70
palindrome	1	71
sorted_ascending	4	72
increasing_pairs	8	73
alternating	2	74
no_repeats	11	75
increasing_pairs	8	76
mountain_pattern	7	77
no_repeats	11	78
sorted_descending	3	79
mountain_pattern	7	80
palindrome	1	81
first_last_match	9	82
increasing_pairs	8	83
sorted_ascending	4	84
palindrome	1	85
no_repeats	11	86
sorted_ascending	4	87
sorted_ascending	4	88
alternating	2	89
mountain_pattern	7	90
decreasing_pairs	6	91
first_last_match	9	92
alternating	2	93
no_repeats	11	94
palindrome	1	95
increasing_pairs	8	96
alternating	2	97
first_last_match	9	98
no_repeats	11	99
