pattern	pattern_idx	sample_idx
increasing_pairs	8	0
increasing_pairs	8	1
sorted_ascending	4	2
increasing_pairs	8	3
increasing_pairs	8	4
increasing_pairs	8	5
sorted_descending	3	6
sorted_ascending	4	7
decreasing_pairs	6	8
sorted_descending	3	9
increasing_pairs	8	10
increasing_pairs	8	11
sorted_ascending	4	12
increasing_pairs	8	13
sorted_descending	3	14
sorted_descending	3	15
sorted_descending	3	16
sorted_descending	3	17
sorted_ascending	4	18
sorted_descending	3	19
increasing_pairs	8	20
sorted_ascending	4	21
decreasing_pairs	6	22
sorted_descending	3	23
sorted_ascending	4	24
sorted_descending	3	25
increasing_pairs	8	26
decreasing_pairs	6	27
sorted_descending	3	28
sorted_descending	3	29
increasing_pairs	8	30
sorted_ascending	4	31
increasing_pairs	8	32
decreasing_pairs	6	33
increasing_pairs	8	34
increasing_pairs	8	35
increasing_pairs	8	36
sorted_descending	3	37
sorted_descending	3	38
sorted_descending	3	39
sorted_ascending	4	40
decreasing_pairs	6	41
increasing_pairs	8	42
sorted_descending	3	43
decreasing_pairs	6	44
sorted_ascending	4	45
sorted_ascending	4	46
sorted_descending	3	47
decreasing_pairs	6	48
increasing_pairs	8	49
increasing_pairs	8	50
increasing_pairs	8	51
sorted_ascending	4	52
sorted_descending	3	53
sorted_descending	3	54
sorted_ascending	4	55
decreasing_pairs	6	56
sorted_ascending	4	57
sorted_ascending	4	58
increasing_pairs	8	59
decreasing_pairs	6	60
sorted_ascending	4	61
decreasing_pairs	6	62
increasing_pairs	8	63
sorted_ascending	4	64
decreasing_pairs	6	65
decreasing_pairs	6	66
sorted_descending	3	67
sorted_ascending	4	68
sorted_ascending	4	69
sorted_descending	3	70
sorted_descending	3	71
sorted_descending	3	72
sorted_descending	3	73
sorted_descending	3	74
sorted_ascending	4	75
decreasing_pairs	6	76
sorted_descending	3	77
increasing_pairs	8	78
sorted_descending	3	79
sorted_descending	3	80
sorted_ascending	4	81
increasing_pairs	8	82
increasing_pairs	8	83
sorted_descending	3	84
increasing_pairs	8	85
sorted_ascending	4	86
increasing_pairs	8	87
increasing_pairs	8	88
sorted_descending	3	89
sorted_ascending	4	90
sorted_descending	3	91
sorted_ascending	4	92
increasing_pairs	8	93
sorted_ascending	4	94
sorted_descending	3	95
sorted_ascending	4	96
sorted_ascending	4	97
increasing_pairs	8	98
increasing_pairs	8	99
