pattern	pattern_idx	sample_idx
sorted_ascending	4	0
mountain_pattern	7	1
sorted_ascending	4	2
sorted_descending	3	3
has_majority	12	4
has_majority	12	5
sorted_ascending	4	6
mountain_pattern	7	7
sorted_ascending	4	8
sorted_ascending	4	9
sorted_ascending	4	10
sorted_ascending	4	11
mountain_pattern	7	12
sorted_descending	3	13
has_majority	12	14
has_majority	12	15
sorted_descending	3	16
has_majority	12	17
has_majority	12	18
has_majority	12	19
mountain_pattern	7	20
sorted_ascending	4	21
sorted_ascending	4	22
sorted_ascending	4	23
mountain_pattern	7	24
sorted_descending	3	25
mountain_pattern	7	26
has_majority	12	27
mountain_pattern	7	28
sorted_descending	3	29
has_majority	12	30
sorted_ascending	4	31
sorted_ascending	4	32
sorted_ascending	4	33
sorted_ascending	4	34
has_majority	12	35
sorted_ascending	4	36
sorted_ascending	4	37
sorted_ascending	4	38
has_majority	12	39
sorted_ascending	4	40
sorted_ascending	4	41
sorted_ascending	4	42
mountain_pattern	7	43
mountain_pattern	7	44
sorted_descending	3	45
mountain_pattern	7	46
sorted_ascending	4	47
sorted_ascending	4	48
mountain_pattern	7	49
mountain_pattern	7	50
mountain_pattern	7	51
has_majority	12	52
has_majority	12	53
has_majority	12	54
mountain_pattern	7	55
sorted_descending	3	56
sorted_ascending	4	57
sorted_descending	3	58
sorted_ascending	4	59
sorted_descending	3	60
mountain_pattern	7	61
sorted_descending	3	62
mountain_pattern	7	63
sorted_ascending	4	64
has_majority	12	65
sorted_ascending	4	66
has_majority	12	67
sorted_descending	3	68
sorted_descending	3	69
sorted_ascending	4	70
sorted_descending	3	71
has_majority	12	72
has_majority	12	73
has_majority	12	74
has_majority	12	75
sorted_ascending	4	76
has_majority	12	77
has_majority	12	78
has_majority	12	79
mountain_pattern	7	80
has_majority	12	81
sorted_ascending	4	82
has_majority	12	83
has_majority	12	84
sorted_ascending	4	85
sorted_ascending	4	86
sorted_ascending	4	87
sorted_descending	3	88
has_majority	12	89
sorted_descending	3	90
mountain_pattern	7	91
has_majority	12	92
has_majority	12	93
sorted_descending	3	94
mountain_pattern	7	95
mountain_pattern	7	96
sorted_descending	3	97
sorted_descending	3	98
mountain_pattern	7	99
mountain_pattern	7	100
sorted_descending	3	101
mountain_pattern	7	102
sorted_ascending	4	103
has_majority	12	104
sorted_ascending	4	105
mountain_pattern	7	106
has_majority	12	107
has_majority	12	108
has_majority	12	109
mountain_pattern	7	110
mountain_pattern	7	111
mountain_pattern	7	112
mountain_pattern	7	113
has_majority	12	114
has_majority	12	115
has_majority	12	116
sorted_descending	3	117
mountain_pattern	7	118
sorted_ascending	4	119
sorted_descending	3	120
has_majority	12	121
sorted_ascending	4	122
has_majority	12	123
sorted_descending	3	124
sorted_descending	3	125
sorted_descending	3	126
mountain_pattern	7	127
sorted_ascending	4	128
has_majority	12	129
mountain_pattern	7	130
sorted_ascending	4	131
has_majority	12	132
sorted_descending	3	133
has_majority	12	134
mountain_pattern	7	135
mountain_pattern	7	136
sorted_ascending	4	137
sorted_descending	3	138
has_majority	12	139
has_majority	12	140
sorted_descending	3	141
has_majority	12	142
sorted_descending	3	143
has_majority	12	144
has_majority	12	145
has_majority	12	146
mountain_pattern	7	147
has_majority	12	148
has_majority	12	149
has_majority	12	150
mountain_pattern	7	151
has_majority	12	152
sorted_ascending	4	153
mountain_pattern	7	154
mountain_pattern	7	155
mountain_pattern	7	156
has_majority	12	157
mountain_pattern	7	158
sorted_descending	3	159
has_majority	12	160
has_majority	12	161
mountain_pattern	7	162
has_majority	12	163
sorted_ascending	4	164
sorted_ascending	4	165
mountain_pattern	7	166
mountain_pattern	7	167
has_majority	12	168
sorted_descending	3	169
has_majority	12	170
sorted_descending	3	171
has_majority	12	172
has_majority	12	173
mountain_pattern	7	174
sorted_ascending	4	175
sorted_ascending	4	176
sorted_ascending	4	177
sorted_ascending	4	178
has_majority	12	179
has_majority	12	180
has_majority	12	181
mountain_pattern	7	182
has_majority	12	183
sorted_descending	3	184
mountain_pattern	7	185
sorted_descending	3	186
sorted_descending	3	187
sorted_ascending	4	188
has_majority	12	189
mountain_pattern	7	190
has_majority	12	191
sorted_ascending	4	192
has_majority	12	193
mountain_pattern	7	194
sorted_ascending	4	195
has_majority	12	196
has_majority	12	197
sorted_ascending	4	198
mountain_pattern	7	199
has_majority	12	200
has_majority	12	201
has_majority	12	202
mountain_pattern	7	203
mountain_pattern	7	204
has_majority	12	205
sorted_ascending	4	206
mountain_pattern	7	207
has_majority	12	208
sorted_descending	3	209
mountain_pattern	7	210
sorted_ascending	4	211
mountain_pattern	7	212
sorted_descending	3	213
sorted_descending	3	214
has_majority	12	215
sorted_ascending	4	216
mountain_pattern	7	217
has_majority	12	218
has_majority	12	219
has_majority	12	220
sorted_ascending	4	221
mountain_pattern	7	222
sorted_ascending	4	223
sorted_descending	3	224
mountain_pattern	7	225
sorted_descending	3	226
has_majority	12	227
sorted_ascending	4	228
has_majority	12	229
has_majority	12	230
sorted_ascending	4	231
sorted_descending	3	232
has_majority	12	233
sorted_ascending	4	234
mountain_pattern	7	235
has_majority	12	236
has_majority	12	237
has_majority	12	238
sorted_descending	3	239
sorted_ascending	4	240
sorted_descending	3	241
mountain_pattern	7	242
has_majority	12	243
sorted_ascending	4	244
mountain_pattern	7	245
sorted_ascending	4	246
has_majority	12	247
sorted_descending	3	248
sorted_ascending	4	249
sorted_ascending	4	250
sorted_ascending	4	251
sorted_ascending	4	252
mountain_pattern	7	253
sorted_descending	3	254
sorted_ascending	4	255
has_majority	12	256
sorted_descending	3	257
has_majority	12	258
has_majority	12	259
has_majority	12	260
mountain_pattern	7	261
sorted_descending	3	262
mountain_pattern	7	263
sorted_ascending	4	264
has_majority	12	265
mountain_pattern	7	266
has_majority	12	267
mountain_pattern	7	268
has_majority	12	269
sorted_ascending	4	270
sorted_descending	3	271
sorted_descending	3	272
has_majority	12	273
has_majority	12	274
has_majority	12	275
sorted_descending	3	276
mountain_pattern	7	277
sorted_descending	3	278
mountain_pattern	7	279
has_majority	12	280
has_majority	12	281
sorted_descending	3	282
sorted_descending	3	283
has_majority	12	284
has_majority	12	285
sorted_descending	3	286
mountain_pattern	7	287
sorted_ascending	4	288
mountain_pattern	7	289
sorted_ascending	4	290
has_majority	12	291
sorted_ascending	4	292
sorted_descending	3	293
sorted_ascending	4	294
has_majority	12	295
sorted_ascending	4	296
mountain_pattern	7	297
has_majority	12	298
mountain_pattern	7	299
sorted_descending	3	300
has_majority	12	301
sorted_ascending	4	302
mountain_pattern	7	303
sorted_ascending	4	304
sorted_descending	3	305
has_majority	12	306
has_majority	12	307
sorted_ascending	4	308
sorted_descending	3	309
mountain_pattern	7	310
sorted_ascending	4	311
has_majority	12	312
mountain_pattern	7	313
has_majority	12	314
sorted_ascending	4	315
has_majority	12	316
has_majority	12	317
sorted_ascending	4	318
sorted_ascending	4	319
sorted_ascending	4	320
sorted_ascending	4	321
has_majority	12	322
sorted_descending	3	323
mountain_pattern	7	324
sorted_ascending	4	325
sorted_descending	3	326
sorted_descending	3	327
sorted_descending	3	328
has_majority	12	329
has_majority	12	330
sorted_ascending	4	331
sorted_descending	3	332
has_majority	12	333
mountain_pattern	7	334
sorted_descending	3	335
has_majority	12	336
sorted_ascending	4	337
sorted_ascending	4	338
mountain_pattern	7	339
sorted_ascending	4	340
sorted_descending	3	341
mountain_pattern	7	342
sorted_ascending	4	343
sorted_descending	3	344
mountain_pattern	7	345
has_majority	12	346
has_majority	12	347
has_majority	12	348
mountain_pattern	7	349
has_majority	12	350
sorted_descending	3	351
has_majority	12	352
sorted_descending	3	353
sorted_ascending	4	354
has_majority	12	355
sorted_descending	3	356
has_majority	12	357
mountain_pattern	7	358
mountain_pattern	7	359
sorted_ascending	4	360
has_majority	12	361
sorted_ascending	4	362
mountain_pattern	7	363
has_majority	12	364
has_majority	12	365
has_majority	12	366
sorted_ascending	4	367
sorted_ascending	4	368
sorted_ascending	4	369
mountain_pattern	7	370
mountain_pattern	7	371
sorted_ascending	4	372
has_majority	12	373
has_majority	12	374
sorted_descending	3	375
has_majority	12	376
sorted_ascending	4	377
has_majority	12	378
sorted_ascending	4	379
mountain_pattern	7	380
mountain_pattern	7	381
sorted_ascending	4	382
has_majority	12	383
mountain_pattern	7	384
sorted_ascending	4	385
sorted_descending	3	386
has_majority	12	387
has_majority	12	388
has_majority	12	389
mountain_pattern	7	390
sorted_descending	3	391
sorted_descending	3	392
mountain_pattern	7	393
sorted_ascending	4	394
sorted_ascending	4	395
mountain_pattern	7	396
has_majority	12	397
mountain_pattern	7	398
