pattern	pattern_idx	sample_idx
sorted_ascending	4	0
sorted_ascending	4	1
has_majority	12	2
sorted_ascending	4	3
has_majority	12	4
mountain_pattern	7	5
mountain_pattern	7	6
mountain_pattern	7	7
mountain_pattern	7	8
has_majority	12	9
mountain_pattern	7	10
mountain_pattern	7	11
sorted_descending	3	12
has_majority	12	13
sorted_descending	3	14
sorted_ascending	4	15
mountain_pattern	7	16
has_majority	12	17
mountain_pattern	7	18
sorted_descending	3	19
has_majority	12	20
mountain_pattern	7	21
has_majority	12	22
sorted_descending	3	23
has_majority	12	24
sorted_descending	3	25
sorted_ascending	4	26
mountain_pattern	7	27
mountain_pattern	7	28
sorted_descending	3	29
sorted_ascending	4	30
sorted_ascending	4	31
has_majority	12	32
mountain_pattern	7	33
sorted_ascending	4	34
sorted_ascending	4	35
mountain_pattern	7	36
sorted_ascending	4	37
mountain_pattern	7	38
has_majority	12	39
mountain_pattern	7	40
has_majority	12	41
sorted_ascending	4	42
has_majority	12	43
sorted_ascending	4	44
mountain_pattern	7	45
has_majority	12	46
has_majority	12	47
sorted_ascending	4	48
sorted_descending	3	49
mountain_pattern	7	50
has_majority	12	51
has_majority	12	52
sorted_ascending	4	53
sorted_descending	3	54
mountain_pattern	7	55
mountain_pattern	7	56
sorted_descending	3	57
has_majority	12	58
sorted_descending	3	59
has_majority	12	60
sorted_descending	3	61
sorted_descending	3	62
sorted_descending	3	63
mountain_pattern	7	64
sorted_ascending	4	65
has_majority	12	66
mountain_pattern	7	67
sorted_descending	3	68
sorted_ascending	4	69
has_majority	12	70
sorted_descending	3	71
has_majority	12	72
has_majority	12	73
sorted_ascending	4	74
sorted_ascending	4	75
has_majority	12	76
mountain_pattern	7	77
has_majority	12	78
has_majority	12	79
mountain_pattern	7	80
has_majority	12	81
mountain_pattern	7	82
has_majority	12	83
sorted_descending	3	84
sorted_ascending	4	85
sorted_descending	3	86
sorted_ascending	4	87
has_majority	12	88
mountain_pattern	7	89
has_majority	12	90
has_majority	12	91
has_majority	12	92
has_majority	12	93
sorted_ascending	4	94
sorted_descending	3	95
has_majority	12	96
sorted_descending	3	97
sorted_descending	3	98
sorted_descending	3	99
sorted_ascending	4	100
has_majority	12	101
mountain_pattern	7	102
sorted_descending	3	103
has_majority	12	104
mountain_pattern	7	105
sorted_ascending	4	106
sorted_ascending	4	107
sorted_ascending	4	108
sorted_ascending	4	109
sorted_ascending	4	110
has_majority	12	111
sorted_descending	3	112
has_majority	12	113
sorted_ascending	4	114
sorted_ascending	4	115
mountain_pattern	7	116
sorted_ascending	4	117
sorted_descending	3	118
sorted_ascending	4	119
sorted_ascending	4	120
sorted_descending	3	121
sorted_ascending	4	122
sorted_descending	3	123
mountain_pattern	7	124
sorted_descending	3	125
has_majority	12	126
mountain_pattern	7	127
has_majority	12	128
sorted_descending	3	129
mountain_pattern	7	130
has_majority	12	131
sorted_descending	3	132
has_majority	12	133
sorted_descending	3	134
mountain_pattern	7	135
has_majority	12	136
sorted_descending	3	137
mountain_pattern	7	138
mountain_pattern	7	139
has_majority	12	140
sorted_descending	3	141
sorted_ascending	4	142
mountain_pattern	7	143
has_majority	12	144
mountain_pattern	7	145
sorted_descending	3	146
sorted_descending	3	147
mountain_pattern	7	148
mountain_pattern	7	149
has_majority	12	150
has_majority	12	151
mountain_pattern	7	152
mountain_pattern	7	153
sorted_ascending	4	154
has_majority	12	155
has_majority	12	156
mountain_pattern	7	157
sorted_descending	3	158
sorted_descending	3	159
has_majority	12	160
has_majority	12	161
sorted_descending	3	162
has_majority	12	163
sorted_descending	3	164
sorted_descending	3	165
sorted_ascending	4	166
sorted_descending	3	167
mountain_pattern	7	168
mountain_pattern	7	169
mountain_pattern	7	170
has_majority	12	171
sorted_descending	3	172
has_majority	12	173
sorted_descending	3	174
sorted_ascending	4	175
sorted_ascending	4	176
has_majority	12	177
mountain_pattern	7	178
sorted_ascending	4	179
mountain_pattern	7	180
sorted_ascending	4	181
has_majority	12	182
sorted_ascending	4	183
has_majority	12	184
mountain_pattern	7	185
has_majority	12	186
has_majority	12	187
sorted_ascending	4	188
mountain_pattern	7	189
mountain_pattern	7	190
mountain_pattern	7	191
mountain_pattern	7	192
sorted_ascending	4	193
sorted_ascending	4	194
has_majority	12	195
sorted_ascending	4	196
sorted_ascending	4	197
mountain_pattern	7	198
sorted_ascending	4	199
sorted_ascending	4	200
has_majority	12	201
mountain_pattern	7	202
has_majority	12	203
mountain_pattern	7	204
sorted_descending	3	205
has_majority	12	206
sorted_ascending	4	207
sorted_ascending	4	208
sorted_descending	3	209
sorted_ascending	4	210
has_majority	12	211
mountain_pattern	7	212
sorted_descending	3	213
has_majority	12	214
mountain_pattern	7	215
has_majority	12	216
has_majority	12	217
sorted_ascending	4	218
sorted_ascending	4	219
has_majority	12	220
sorted_ascending	4	221
has_majority	12	222
has_majority	12	223
mountain_pattern	7	224
has_majority	12	225
has_majority	12	226
sorted_ascending	4	227
mountain_pattern	7	228
mountain_pattern	7	229
sorted_ascending	4	230
sorted_descending	3	231
sorted_descending	3	232
mountain_pattern	7	233
sorted_ascending	4	234
sorted_ascending	4	235
has_majority	12	236
sorted_descending	3	237
sorted_descending	3	238
sorted_ascending	4	239
sorted_descending	3	240
sorted_descending	3	241
sorted_ascending	4	242
sorted_descending	3	243
mountain_pattern	7	244
has_majority	12	245
has_majority	12	246
sorted_ascending	4	247
has_majority	12	248
mountain_pattern	7	249
has_majority	12	250
sorted_ascending	4	251
sorted_descending	3	252
sorted_ascending	4	253
sorted_ascending	4	254
has_majority	12	255
has_majority	12	256
sorted_ascending	4	257
sorted_descending	3	258
sorted_ascending	4	259
has_majority	12	260
mountain_pattern	7	261
sorted_ascending	4	262
sorted_descending	3	263
has_majority	12	264
mountain_pattern	7	265
has_majority	12	266
sorted_descending	3	267
has_majority	12	268
sorted_descending	3	269
sorted_descending	3	270
sorted_ascending	4	271
mountain_pattern	7	272
sorted_descending	3	273
has_majority	12	274
mountain_pattern	7	275
sorted_descending	3	276
sorted_descending	3	277
has_majority	12	278
sorted_descending	3	279
has_majority	12	280
has_majority	12	281
sorted_ascending	4	282
mountain_pattern	7	283
mountain_pattern	7	284
sorted_descending	3	285
sorted_descending	3	286
mountain_pattern	7	287
has_majority	12	288
has_majority	12	289
sorted_ascending	4	290
sorted_ascending	4	291
has_majority	12	292
mountain_pattern	7	293
sorted_ascending	4	294
mountain_pattern	7	295
mountain_pattern	7	296
has_majority	12	297
mountain_pattern	7	298
sorted_ascending	4	299
has_majority	12	300
mountain_pattern	7	301
has_majority	12	302
sorted_ascending	4	303
has_majority	12	304
mountain_pattern	7	305
sorted_ascending	4	306
mountain_pattern	7	307
sorted_descending	3	308
has_majority	12	309
sorted_ascending	4	310
has_majority	12	311
mountain_pattern	7	312
sorted_ascending	4	313
mountain_pattern	7	314
mountain_pattern	7	315
sorted_descending	3	316
mountain_pattern	7	317
sorted_descending	3	318
sorted_ascending	4	319
has_majority	12	320
sorted_ascending	4	321
mountain_pattern	7	322
sorted_descending	3	323
has_majority	12	324
has_majority	12	325
mountain_pattern	7	326
mountain_pattern	7	327
has_majority	12	328
has_majority	12	329
sorted_descending	3	330
has_majority	12	331
mountain_pattern	7	332
sorted_ascending	4	333
has_majority	12	334
mountain_pattern	7	335
