pattern	pattern_idx	sample_idx
mountain_pattern	7	0
mountain_pattern	7	1
has_majority	12	2
mountain_pattern	7	3
sorted_descending	3	4
sorted_descending	3	5
has_majority	12	6
sorted_ascending	4	7
sorted_descending	3	8
has_majority	12	9
has_majority	12	10
has_majority	12	11
sorted_descending	3	12
mountain_pattern	7	13
has_majority	12	14
sorted_ascending	4	15
mountain_pattern	7	16
has_majority	12	17
sorted_descending	3	18
sorted_ascending	4	19
sorted_ascending	4	20
sorted_descending	3	21
mountain_pattern	7	22
has_majority	12	23
sorted_ascending	4	24
sorted_descending	3	25
sorted_ascending	4	26
sorted_ascending	4	27
mountain_pattern	7	28
has_majority	12	29
has_majority	12	30
mountain_pattern	7	31
sorted_descending	3	32
sorted_descending	3	33
has_majority	12	34
mountain_pattern	7	35
mountain_pattern	7	36
has_majority	12	37
has_majority	12	38
has_majority	12	39
sorted_ascending	4	40
sorted_ascending	4	41
sorted_descending	3	42
has_majority	12	43
sorted_ascending	4	44
mountain_pattern	7	45
sorted_ascending	4	46
sorted_ascending	4	47
mountain_pattern	7	48
sorted_descending	3	49
sorted_descending	3	50
has_majority	12	51
sorted_ascending	4	52
mountain_pattern	7	53
mountain_pattern	7	54
has_majority	12	55
has_majority	12	56
has_majority	12	57
sorted_descending	3	58
sorted_ascending	4	59
sorted_ascending	4	60
has_majority	12	61
sorted_ascending	4	62
sorted_descending	3	63
sorted_ascending	4	64
mountain_pattern	7	65
has_majority	12	66
has_majority	12	67
mountain_pattern	7	68
sorted_descending	3	69
sorted_ascending	4	70
has_majority	12	71
mountain_pattern	7	72
sorted_descending	3	73
sorted_ascending	4	74
mountain_pattern	7	75
sorted_descending	3	76
mountain_pattern	7	77
sorted_ascending	4	78
sorted_descending	3	79
sorted_ascending	4	80
sorted_ascending	4	81
has_majority	12	82
sorted_ascending	4	83
mountain_pattern	7	84
mountain_pattern	7	85
sorted_ascending	4	86
sorted_descending	3	87
has_majority	12	88
mountain_pattern	7	89
has_majority	12	90
sorted_descending	3	91
sorted_ascending	4	92
mountain_pattern	7	93
has_majority	12	94
mountain_pattern	7	95
sorted_descending	3	96
has_majority	12	97
sorted_ascending	4	98
