pattern	pattern_idx	sample_idx
has_majority	12	0
has_majority	12	1
has_majority	12	2
sorted_descending	3	3
sorted_descending	3	4
sorted_ascending	4	5
sorted_ascending	4	6
sorted_descending	3	7
sorted_descending	3	8
sorted_descending	3	9
has_majority	12	10
has_majority	12	11
has_majority	12	12
sorted_descending	3	13
sorted_ascending	4	14
has_majority	12	15
has_majority	12	16
sorted_descending	3	17
sorted_descending	3	18
sorted_ascending	4	19
has_majority	12	20
sorted_descending	3	21
sorted_descending	3	22
sorted_descending	3	23
mountain_pattern	7	24
sorted_ascending	4	25
has_majority	12	26
sorted_ascending	4	27
mountain_pattern	7	28
sorted_descending	3	29
sorted_ascending	4	30
has_majority	12	31
mountain_pattern	7	32
mountain_pattern	7	33
mountain_pattern	7	34
mountain_pattern	7	35
has_majority	12	36
sorted_ascending	4	37
has_majority	12	38
sorted_descending	3	39
sorted_ascending	4	40
mountain_pattern	7	41
has_majority	12	42
has_majority	12	43
sorted_descending	3	44
sorted_descending	3	45
has_majority	12	46
has_majority	12	47
sorted_ascending	4	48
sorted_ascending	4	49
has_majority	12	50
mountain_pattern	7	51
mountain_pattern	7	52
mountain_pattern	7	53
has_majority	12	54
sorted_ascending	4	55
sorted_descending	3	56
sorted_ascending	4	57
mountain_pattern	7	58
mountain_pattern	7	59
has_majority	12	60
sorted_ascending	4	61
has_majority	12	62
has_majority	12	63
sorted_descending	3	64
mountain_pattern	7	65
sorted_ascending	4	66
has_majority	12	67
has_majority	12	68
mountain_pattern	7	69
sorted_descending	3	70
mountain_pattern	7	71
sorted_descending	3	72
mountain_pattern	7	73
has_majority	12	74
has_majority	12	75
has_majority	12	76
has_majority	12	77
has_majority	12	78
mountain_pattern	7	79
sorted_descending	3	80
has_majority	12	81
sorted_ascending	4	82
sorted_descending	3	83
sorted_ascending	4	84
mountain_pattern	7	85
has_majority	12	86
has_majority	12	87
has_majority	12	88
has_majority	12	89
mountain_pattern	7	90
mountain_pattern	7	91
mountain_pattern	7	92
sorted_ascending	4	93
mountain_pattern	7	94
has_majority	12	95
has_majority	12	96
sorted_ascending	4	97
sorted_ascending	4	98
sorted_ascending	4	99
sorted_descending	3	100
has_majority	12	101
sorted_descending	3	102
sorted_ascending	4	103
has_majority	12	104
mountain_pattern	7	105
mountain_pattern	7	106
sorted_descending	3	107
mountain_pattern	7	108
sorted_descending	3	109
has_majority	12	110
mountain_pattern	7	111
has_majority	12	112
mountain_pattern	7	113
mountain_pattern	7	114
mountain_pattern	7	115
sorted_descending	3	116
mountain_pattern	7	117
mountain_pattern	7	118
sorted_ascending	4	119
sorted_ascending	4	120
has_majority	12	121
sorted_ascending	4	122
sorted_descending	3	123
has_majority	12	124
mountain_pattern	7	125
sorted_descending	3	126
sorted_ascending	4	127
has_majority	12	128
mountain_pattern	7	129
sorted_ascending	4	130
mountain_pattern	7	131
sorted_descending	3	132
mountain_pattern	7	133
sorted_descending	3	134
mountain_pattern	7	135
has_majority	12	136
sorted_descending	3	137
sorted_descending	3	138
sorted_ascending	4	139
mountain_pattern	7	140
mountain_pattern	7	141
sorted_ascending	4	142
has_majority	12	143
has_majority	12	144
has_majority	12	145
sorted_ascending	4	146
mountain_pattern	7	147
has_majority	12	148
has_majority	12	149
has_majority	12	150
sorted_ascending	4	151
has_majority	12	152
has_majority	12	153
sorted_ascending	4	154
sorted_ascending	4	155
sorted_descending	3	156
mountain_pattern	7	157
mountain_pattern	7	158
mountain_pattern	7	159
sorted_descending	3	160
mountain_pattern	7	161
mountain_pattern	7	162
has_majority	12	163
sorted_descending	3	164
has_majority	12	165
mountain_pattern	7	166
has_majority	12	167
mountain_pattern	7	168
mountain_pattern	7	169
mountain_pattern	7	170
has_majority	12	171
has_majority	12	172
sorted_ascending	4	173
mountain_pattern	7	174
sorted_descending	3	175
mountain_pattern	7	176
sorted_ascending	4	177
has_majority	12	178
sorted_ascending	4	179
sorted_ascending	4	180
has_majority	12	181
mountain_pattern	7	182
sorted_descending	3	183
sorted_ascending	4	184
has_majority	12	185
sorted_descending	3	186
mountain_pattern	7	187
sorted_ascending	4	188
sorted_ascending	4	189
mountain_pattern	7	190
has_majority	12	191
sorted_ascending	4	192
mountain_pattern	7	193
sorted_ascending	4	194
sorted_ascending	4	195
mountain_pattern	7	196
has_majority	12	197
sorted_ascending	4	198
has_majority	12	199
sorted_descending	3	200
sorted_descending	3	201
sorted_ascending	4	202
has_majority	12	203
has_majority	12	204
has_majority	12	205
sorted_ascending	4	206
has_majority	12	207
has_majority	12	208
sorted_ascending	4	209
mountain_pattern	7	210
has_majority	12	211
sorted_ascending	4	212
has_majority	12	213
sorted_ascending	4	214
has_majority	12	215
sorted_descending	3	216
mountain_pattern	7	217
has_majority	12	218
has_majority	12	219
has_majority	12	220
has_majority	12	221
mountain_pattern	7	222
sorted_descending	3	223
has_majority	12	224
has_majority	12	225
has_majority	12	226
sorted_descending	3	227
sorted_descending	3	228
mountain_pattern	7	229
sorted_descending	3	230
sorted_descending	3	231
sorted_ascending	4	232
has_majority	12	233
mountain_pattern	7	234
sorted_descending	3	235
sorted_descending	3	236
has_majority	12	237
sorted_descending	3	238
sorted_ascending	4	239
has_majority	12	240
has_majority	12	241
sorted_ascending	4	242
mountain_pattern	7	243
has_majority	12	244
has_majority	12	245
has_majority	12	246
has_majority	12	247
sorted_ascending	4	248
mountain_pattern	7	249
sorted_ascending	4	250
has_majority	12	251
mountain_pattern	7	252
mountain_pattern	7	253
has_majority	12	254
mountain_pattern	7	255
mountain_pattern	7	256
has_majority	12	257
has_majority	12	258
sorted_descending	3	259
mountain_pattern	7	260
mountain_pattern	7	261
sorted_descending	3	262
sorted_descending	3	263
sorted_ascending	4	264
sorted_ascending	4	265
sorted_ascending	4	266
has_majority	12	267
mountain_pattern	7	268
sorted_descending	3	269
has_majority	12	270
sorted_ascending	4	271
has_majority	12	272
has_majority	12	273
sorted_descending	3	274
has_majority	12	275
mountain_pattern	7	276
mountain_pattern	7	277
has_majority	12	278
sorted_descending	3	279
has_majority	12	280
mountain_pattern	7	281
sorted_descending	3	282
sorted_ascending	4	283
sorted_descending	3	284
mountain_pattern	7	285
has_majority	12	286
sorted_ascending	4	287
has_majority	12	288
has_majority	12	289
mountain_pattern	7	290
mountain_pattern	7	291
has_majority	12	292
sorted_ascending	4	293
mountain_pattern	7	294
sorted_ascending	4	295
sorted_descending	3	296
has_majority	12	297
has_majority	12	298
sorted_descending	3	299
sorted_ascending	4	300
has_majority	12	301
has_majority	12	302
mountain_pattern	7	303
sorted_ascending	4	304
sorted_ascending	4	305
mountain_pattern	7	306
sorted_ascending	4	307
sorted_ascending	4	308
mountain_pattern	7	309
has_majority	12	310
has_majority	12	311
mountain_pattern	7	312
sorted_descending	3	313
sorted_descending	3	314
sorted_ascending	4	315
has_majority	12	316
mountain_pattern	7	317
sorted_ascending	4	318
sorted_ascending	4	319
sorted_ascending	4	320
has_majority	12	321
has_majority	12	322
mountain_pattern	7	323
sorted_ascending	4	324
mountain_pattern	7	325
mountain_pattern	7	326
has_majority	12	327
has_majority	12	328
mountain_pattern	7	329
sorted_descending	3	330
mountain_pattern	7	331
sorted_ascending	4	332
sorted_descending	3	333
mountain_pattern	7	334
has_majority	12	335
sorted_descending	3	336
sorted_descending	3	337
has_majority	12	338
has_majority	12	339
mountain_pattern	7	340
mountain_pattern	7	341
mountain_pattern	7	342
mountain_pattern	7	343
sorted_ascending	4	344
mountain_pattern	7	345
sorted_descending	3	346
sorted_ascending	4	347
sorted_descending	3	348
mountain_pattern	7	349
sorted_ascending	4	350
has_majority	12	351
has_majority	12	352
sorted_ascending	4	353
has_majority	12	354
has_majority	12	355
mountain_pattern	7	356
sorted_descending	3	357
mountain_pattern	7	358
mountain_pattern	7	359
sorted_descending	3	360
sorted_descending	3	361
has_majority	12	362
sorted_ascending	4	363
sorted_ascending	4	364
has_majority	12	365
sorted_ascending	4	366
sorted_ascending	4	367
has_majority	12	368
has_majority	12	369
mountain_pattern	7	370
mountain_pattern	7	371
sorted_descending	3	372
mountain_pattern	7	373
mountain_pattern	7	374
mountain_pattern	7	375
mountain_pattern	7	376
mountain_pattern	7	377
sorted_ascending	4	378
sorted_descending	3	379
sorted_ascending	4	380
has_majority	12	381
sorted_ascending	4	382
has_majority	12	383
sorted_ascending	4	384
sorted_ascending	4	385
sorted_ascending	4	386
has_majority	12	387
sorted_descending	3	388
has_majority	12	389
sorted_ascending	4	390
sorted_ascending	4	391
mountain_pattern	7	392
sorted_ascending	4	393
sorted_descending	3	394
sorted_descending	3	395
has_majority	12	396
sorted_descending	3	397
sorted_descending	3	398
